tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36240,7715,8784336,146203,2017-08-01 16:23:56+00:00
892177421306343426,31259,5701,8784336,146203,2017-08-01 00:17:27+00:00
891815181378084864,23536,3780,8784336,146203,2017-07-31 00:18:03+00:00
891689557279858688,39540,7876,8784336,146203,2017-07-30 15:58:51+00:00
891327558926688256,37761,8486,8784336,146203,2017-07-29 16:00:24+00:00
891087950875897856,19013,2844,8784336,146203,2017-07-29 00:08:17+00:00
890971913173991426,11074,1851,8784336,146203,2017-07-28 16:27:12+00:00
890729181411237888,61072,17214,8784336,146203,2017-07-28 00:22:40+00:00
890609185150312448,26174,3917,8784336,146203,2017-07-27 16:25:51+00:00
890240255349198849,29902,6702,8784336,146203,2017-07-26 15:59:51+00:00
890006608113172480,28793,6684,8784336,146203,2017-07-26 00:31:25+00:00
889880896479866881,26196,4554,8784336,146203,2017-07-25 16:11:53+00:00
889665388333682689,45113,9134,8784336,146203,2017-07-25 01:55:32+00:00
889638837579907072,25383,4096,8784336,146203,2017-07-25 00:10:02+00:00
889531135344209921,14202,2059,8784336,146203,2017-07-24 17:02:04+00:00
889278841981685760,23646,4862,8784336,146203,2017-07-24 00:19:32+00:00
888917238123831296,27329,4108,8784336,146203,2017-07-23 00:22:39+00:00
888804989199671297,24014,3875,8784336,146203,2017-07-22 16:56:37+00:00
888554962724278272,18547,3180,8784336,146203,2017-07-22 00:23:06+00:00
888078434458587136,20448,3162,8784336,146203,2017-07-20 16:49:33+00:00
887705289381826560,28390,4914,8784336,146203,2017-07-19 16:06:48+00:00
887517139158093824,43554,10747,8784336,146203,2017-07-19 03:39:09+00:00
887473957103951883,64550,16431,8784336,146203,2017-07-19 00:47:34+00:00
887343217045368832,31608,9558,8784336,146203,2017-07-18 16:08:03+00:00
887101392804085760,28747,5444,8784336,146203,2017-07-18 00:07:08+00:00
886983233522544640,32795,7004,8784336,146203,2017-07-17 16:17:36+00:00
886736880519319552,11254,2934,8784336,146203,2017-07-16 23:58:41+00:00
886680336477933568,21096,4082,8784336,146203,2017-07-16 20:14:00+00:00
886366144734445568,19849,2893,8784336,146203,2017-07-15 23:25:31+00:00
886267009285017600,111,4,8784336,146203,2017-07-15 16:51:35+00:00
886258384151887873,26284,5767,8784335,146203,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8784335,146203,2017-07-15 02:45:48+00:00
885984800019947520,30583,6131,8784335,146203,2017-07-14 22:10:11+00:00
885528943205470208,33752,5833,8784335,146203,2017-07-13 15:58:47+00:00
885518971528720385,19238,3406,8784335,146203,2017-07-13 15:19:09+00:00
885311592912609280,0,16910,8784335,146203,2017-07-13 01:35:06+00:00
885167619883638784,20559,3994,8784335,146203,2017-07-12 16:03:00+00:00
884925521741709313,72413,16521,8784335,146203,2017-07-12 00:01:00+00:00
884876753390489601,26151,5100,8784335,146203,2017-07-11 20:47:12+00:00
884562892145688576,22813,4294,8784335,146203,2017-07-11 00:00:02+00:00
884441805382717440,25434,5200,8784335,146203,2017-07-10 15:58:53+00:00
884247878851493888,68168,18551,8784335,146203,2017-07-10 03:08:17+00:00
884162670584377345,19157,2735,8784335,146203,2017-07-09 21:29:42+00:00
883838122936631299,20530,3139,8784335,146203,2017-07-09 00:00:04+00:00
883482846933004288,43022,9021,8785029,146204,2017-07-08 00:28:19+00:00
883360690899218434,21293,3381,8784335,146203,2017-07-07 16:22:55+00:00
883117836046086144,34829,6062,8784335,146203,2017-07-07 00:17:54+00:00
882992080364220416,22424,3557,8784335,146203,2017-07-06 15:58:11+00:00
882762694511734784,26553,4471,8784335,146203,2017-07-06 00:46:41+00:00
882627270321602560,26291,5552,8784335,146203,2017-07-05 15:48:34+00:00
882268110199369728,42098,10570,8784335,146203,2017-07-04 16:01:23+00:00
882045870035918850,27522,4466,8784335,146203,2017-07-04 01:18:17+00:00
881906580714921986,22844,3105,8784335,146203,2017-07-03 16:04:48+00:00
881666595344535552,47573,9753,8784335,146203,2017-07-03 00:11:11+00:00
881633300179243008,118,7,8784335,146203,2017-07-02 21:58:53+00:00
881536004380872706,46449,14587,8784335,146203,2017-07-02 15:32:16+00:00
881268444196462592,21823,4816,8784335,146203,2017-07-01 21:49:04+00:00
880935762899988482,16039,2549,8784335,146203,2017-06-30 23:47:07+00:00
880872448815771648,19997,3500,8784336,146203,2017-06-30 19:35:32+00:00
880465832366813184,26758,5684,8784336,146203,2017-06-29 16:39:47+00:00
880221127280381952,25332,3806,8784336,146203,2017-06-29 00:27:25+00:00
880095782870896641,25943,3969,8784336,146203,2017-06-28 16:09:20+00:00
879862464715927552,21026,3202,8784336,146203,2017-06-28 00:42:13+00:00
879674319642796034,297,10,8784336,146203,2017-06-27 12:14:36+00:00
